,Time (secs)
Fit-IndividualBOSS,0.005996227264404297
Fit-BOSSEnsemble,0.10767769813537598
Fit-MUSE,0.3431665897369385
Fit-TemporalDictionaryEnsemble,6.309170961380005
Fit-IndividualTDE,6.340234756469727
Fit-WEASEL,6.494518518447876
Fit-ProximityForest,34.060566663742065
Fit-ProximityTree,34.35874605178833
Fit-RandomIntervalSpectralForest,35.74417495727539
Fit-TimeSeriesForest,35.899245262145996
Fit-TSKNN_DTW,35.899503231048584
Fit-TSKNN_ED,35.89970135688782
Prediction,8.015824556350708
